Nome,Arquivados,Retirados,Tramitando,Aguardando,Total
BOSCO SARAIVA,0,0,0,0,0
LUIZ CARLOS,0,0,9,0,9
DELEGADO ÉDER MAURO,0,0,0,0,0
FERNANDO RODOLFO,0,0,0,0,0
MARRECA FILHO,0,0,0,0,0
WELLINGTON ROBERTO,0,0,0,0,0
VANDER LOUBET,0,0,1,0,1
CLEBER VERDE,0,0,8,4,12
FLAVIANO MELO,0,0,0,0,0
FABIO REIS,0,0,0,0,0
FÉLIX MENDONÇA JÚNIOR,0,0,3,6,9
JHONATAN DE JESUS,0,0,2,1,3
BETO PEREIRA,0,0,0,0,0
TADEU ALENCAR,0,0,0,0,0
CÁSSIO ANDRADE,0,0,0,0,0
JOÃO DANIEL,0,0,4,0,4
TONINHO WANDSCHEER,0,0,0,0,0
ENIO VERRI,0,0,0,0,0
HÉLIO LEITE,0,0,0,0,0
MARCELO RAMOS,0,0,0,0,0
PERPÉTUA ALMEIDA,0,0,0,0,0
ANDRÉ FIGUEIREDO,0,0,0,0,0
CELSO SABINO,0,0,0,0,0
HIRAN GONÇALVES,0,0,0,0,0
VAIDON OLIVEIRA,0,0,0,0,0
OLIVAL MARQUES,0,0,0,0,0
SILAS CÂMARA,0,0,0,0,0
DAMIÃO FELICIANO,0,0,1,1,2
JÉSSICA SALES,0,0,0,0,0
ROBERTO DE LUCENA,0,0,6,0,6
GONZAGA PATRIOTA,0,0,0,4,4
CARLOS VERAS,0,0,0,0,0
EDIO LOPES,0,0,0,1,1
MARIA DO ROSÁRIO,1,0,0,1,2
CORONEL CHRISÓSTOMO,0,0,0,0,0
FABIO SCHIOCHET,0,0,0,0,0
LUIZIANNE LINS,0,0,0,1,1
NIVALDO ALBUQUERQUE,0,0,3,1,4
NICOLETTI,0,0,0,0,0
ALAN RICK,0,0,2,5,7
RICARDO TEOBALDO,0,0,0,0,0
GLEISI HOFFMANN,0,0,0,2,2
OSIRES DAMASO,0,0,0,0,0
FLAVIO NOGUEIRA,0,0,0,0,0
EDMILSON RODRIGUES,0,0,0,0,0
ULDURICO JUNIOR,1,0,1,0,2
VICENTINHO JÚNIOR,0,0,9,3,12
DELEGADO PABLO,0,0,0,0,0
MARX BELTRÃO,0,0,10,0,10
NILTO TATTO,0,0,2,3,5
HILDO ROCHA,0,0,8,9,17
VERMELHO,0,0,0,0,0
NERI GELLER,0,0,0,0,0
DANIEL ALMEIDA,0,0,1,0,1
