Nome,Arquivados,Retirados,Tramitando,Aguardando,Total
BOSCO SARAIVA,0,0,0,0,0
LUIZ CARLOS,1,0,3,1,5
DELEGADO ÉDER MAURO,0,0,2,0,2
FERNANDO RODOLFO,0,0,0,0,0
MARRECA FILHO,0,0,0,0,0
WELLINGTON ROBERTO,0,0,0,1,1
VANDER LOUBET,1,0,0,0,1
CLEBER VERDE,0,0,10,7,17
FLAVIANO MELO,0,0,0,1,1
FABIO REIS,0,0,1,1,2
FÉLIX MENDONÇA JÚNIOR,0,0,3,7,10
JHONATAN DE JESUS,0,0,0,1,1
BETO PEREIRA,0,0,0,0,0
TADEU ALENCAR,0,0,1,1,2
CÁSSIO ANDRADE,0,0,0,0,0
JOÃO DANIEL,0,0,5,8,13
TONINHO WANDSCHEER,0,0,0,0,0
ENIO VERRI,0,0,0,2,2
HÉLIO LEITE,0,0,2,7,9
MARCELO RAMOS,0,0,0,0,0
PERPÉTUA ALMEIDA,0,0,0,0,0
ANDRÉ FIGUEIREDO,0,0,1,4,5
CELSO SABINO,0,0,0,0,0
HIRAN GONÇALVES,0,0,3,0,3
VAIDON OLIVEIRA,0,0,0,0,0
OLIVAL MARQUES,0,0,0,0,0
SILAS CÂMARA,0,0,0,2,2
DAMIÃO FELICIANO,0,0,1,1,2
JÉSSICA SALES,0,0,0,0,0
ROBERTO DE LUCENA,0,0,4,0,4
GONZAGA PATRIOTA,0,0,0,3,3
CARLOS VERAS,0,0,0,0,0
EDIO LOPES,0,0,1,0,1
MARIA DO ROSÁRIO,0,0,2,1,3
CORONEL CHRISÓSTOMO,0,0,0,0,0
FABIO SCHIOCHET,0,0,0,0,0
LUIZIANNE LINS,0,0,0,2,2
NIVALDO ALBUQUERQUE,0,0,0,0,0
NICOLETTI,0,0,0,0,0
ALAN RICK,0,0,7,5,12
RICARDO TEOBALDO,0,0,1,1,2
GLEISI HOFFMANN,0,0,1,0,1
OSIRES DAMASO,0,0,0,0,0
FLAVIO NOGUEIRA,0,0,0,0,0
EDMILSON RODRIGUES,0,0,1,2,3
ULDURICO JUNIOR,0,0,7,5,12
VICENTINHO JÚNIOR,0,0,3,5,8
DELEGADO PABLO,0,0,0,0,0
MARX BELTRÃO,0,0,2,0,2
NILTO TATTO,0,0,0,1,1
HILDO ROCHA,0,0,3,8,11
VERMELHO,0,0,0,0,0
NERI GELLER,0,0,0,0,0
DANIEL ALMEIDA,0,0,1,0,1
ACÁCIO FAVACHO,0,0,0,0,0
AIRTON FALEIRO,0,0,0,0,0
VINICIUS GURGEL,0,0,0,1,1
PR. MARCO FELICIANO,0,1,2,2,5
DULCE MIRANDA,0,0,4,0,4
JÚLIO CESAR,0,0,0,0,0
PEDRO LUCAS FERNANDES,0,0,0,0,0
JOSÉ PRIANTE,0,0,0,1,1
MARGARETE COELHO,0,0,0,0,0
HEITOR FREIRE,0,0,0,0,0
CÉLIO SILVEIRA,0,0,5,2,7
MARCELO NILO,0,0,0,0,0
DOMINGOS NETO,0,0,2,10,12
BETO ROSADO,1,0,4,3,8
LUIZ NISHIMORI,0,0,6,6,12
PAULO TEIXEIRA,0,0,0,0,0
ALINE GURGEL,0,0,0,0,0
ÁTILA LINS,1,0,0,0,1
JOSÉ AIRTON FÉLIX CIRILO,0,0,0,1,1
BETO FARO,0,0,0,0,0
SILVIO COSTA FILHO,0,0,0,0,0
SAMUEL MOREIRA,0,0,1,1,2
CAPITÃO AUGUSTO,0,0,8,11,19
PROFESSOR ALCIDES,0,0,0,0,0
EUCLYDES PETTERSEN,0,0,0,0,0
JULIAN LEMOS,0,0,0,0,0
BILAC PINTO,1,0,0,0,1
IGOR TIMO,0,0,0,0,0
AFONSO MOTTA,1,0,0,0,1
JOSÉ GUIMARÃES,0,0,0,4,4
RUY CARNEIRO,0,0,0,0,0
JERÔNIMO GOERGEN,0,0,3,5,8
ARTHUR OLIVEIRA MAIA,0,0,2,1,3
ROBÉRIO MONTEIRO,0,0,0,0,0
LEONARDO MONTEIRO,0,0,0,0,0
MÁRCIO MARINHO,0,0,2,1,3
NELSON PELLEGRINO,0,0,0,0,0
GIACOBO,0,0,2,2,4
VINICIUS CARVALHO,0,0,21,12,33
VAVÁ MARTINS,0,0,0,0,0
GIL CUTRIM,0,0,0,0,0
PAULO BENGTSON,0,0,0,0,0
DARCI DE MATOS,0,0,0,0,0
PATRUS ANANIAS,0,0,0,0,0
DAGOBERTO NOGUEIRA,0,0,0,0,0
JORGE SOLLA,0,0,9,9,18
ROBERTO ALVES,0,0,3,10,13
REINHOLD STEPHANES JUNIOR,0,0,0,0,0
EVANDRO ROMAN,0,0,1,2,3
SHÉRIDAN,0,0,7,1,8
ELMAR NASCIMENTO,1,0,0,0,1
SEVERINO PESSOA,0,0,0,0,0
RUBENS OTONI,0,0,1,0,1
RAFAEL MOTTA,0,0,3,0,3
FERNANDO MONTEIRO,0,0,4,0,4
FREI ANASTACIO RIBEIRO,0,0,0,0,0
CHRISTIANE DE SOUZA YARED,0,0,4,0,4
MISAEL VARELLA,0,0,0,0,0
LUCAS VERGILIO,0,0,1,5,6
ELI CORRÊA FILHO,0,0,0,3,3
BALEIA ROSSI,0,0,6,3,9
JANDIRA FEGHALI,0,0,1,1,2
JOÃO MAIA,0,0,0,0,0
JOÃO MARCELO SOUZA,0,0,1,1,2
GELSON AZEVEDO,0,0,0,0,0
TEREZA NELMA,0,0,0,0,0
VINICIUS FARAH,0,0,0,0,0
ALCEU MOREIRA,0,0,9,12,21
LEÔNIDAS CRISTINO,0,0,0,1,1
MAURÍCIO DZIEDRICKI,0,0,0,0,0
VANDERLEI MACRIS,0,0,0,4,4
EDUARDO CURY,0,0,0,2,2
RONALDO CARLETTO,0,0,13,12,25
ANTONIO BRITO,0,0,0,1,1
ZÉ SILVA,0,0,2,2,4
MARCON,0,0,1,1,2
JOÃO CAMPOS,0,0,2,4,6
MÁRCIO LABRE,0,0,0,0,0
EXPEDITO NETTO,1,0,6,0,7
WILSON SANTIAGO,0,0,0,0,0
MARÍLIA ARRAES,0,0,0,0,0
SERGIO SOUZA,0,0,2,1,3
JESUS SÉRGIO,0,0,0,0,0
MÁRCIO BIOLCHI,0,0,0,0,0
MARA ROCHA,0,0,0,0,0
HUGO MOTTA,0,0,0,2,2
ANDRÉ ABDON,1,0,0,0,1
ALEX MANENTE,0,0,7,4,11
DARCÍSIO PERONDI,1,0,0,2,3
BOHN GASS,0,0,0,0,0
DANIEL FREITAS,0,0,0,0,0
EROS BIONDINI,0,0,4,1,5
LINCOLN PORTELA,0,0,4,1,5
ALEX SANTANA,0,0,0,0,0
AUGUSTO COUTINHO,0,0,4,4,8
DOMINGOS SÁVIO,0,0,1,0,1
ANDRÉ DE PAULA,0,0,0,1,1
WALTER ALVES,0,0,1,1,2
CARLOS SAMPAIO,0,0,5,4,9
BACELAR,0,0,1,1,2
GEOVANIA DE SÁ,0,0,3,3,6
SILVIA CRISTINA,0,0,0,0,0
CLAUDIO CAJADO,0,0,0,0,0
MÁRIO NEGROMONTE JR.,0,0,2,3,5
ORLANDO SILVA,0,0,3,2,5
GENINHO ZULIANI,0,0,0,0,0
RAUL HENRY,0,0,0,0,0
ROSANGELA GOMES,0,0,5,1,6
NEREU CRISPIM,0,0,0,0,0
MANUEL MARCOS,0,0,0,0,0
CACÁ LEÃO,1,0,1,0,2
VITOR LIPPI,0,0,1,0,1
POMPEO DE MATTOS,0,0,26,28,54
TALÍRIA PETRONE,0,0,0,0,0
MÁRIO HERINGER,0,0,4,5,9
VALMIR ASSUNÇÃO,0,0,5,11,16
CARLOS HENRIQUE GAGUIM,0,0,22,16,38
CRISTIANO VALE,0,0,0,0,0
ZÉ VITOR,0,0,0,0,0
FAUSTO PINATO,0,0,4,10,14
TIAGO DIMAS,0,0,0,0,0
FÁBIO MITIDIERI,0,1,12,5,18
ERIKA KOKAY,1,0,4,2,7
PEDRO UCZAI,0,0,1,1,2
BOCA ABERTA,0,0,0,0,0
JUSCELINO FILHO,0,0,5,1,6
PROFESSORA ROSA NEIDE,0,0,0,0,0
CAMILO CAPIBERIBE,0,0,0,0,0
LEUR LOMANTO JÚNIOR,0,0,0,0,0
MARCELO FREIXO,0,0,0,0,0
GUILHERME DERRITE,0,0,0,0,0
REGINALDO LOPES,0,0,4,4,8
PEDRO WESTPHALEN,0,0,0,0,0
JAQUELINE CASSOL,0,0,0,0,0
ABÍLIO SANTANA,0,0,0,0,0
FÁBIO HENRIQUE,0,0,0,0,0
JOAQUIM PASSARINHO,0,0,3,1,4
DIMAS FABIANO,0,0,0,0,0
MARCOS AURÉLIO SAMPAIO,0,0,0,0,0
JÚLIO DELGADO,0,0,4,1,5
EVAIR VIEIRA DE MELO,0,0,0,0,0
JHC,1,0,9,6,16
PAULO ABI-ACKEL,0,0,0,0,0
JOSÉ NUNES,0,0,1,0,1
PAULO FREIRE COSTA,0,0,0,0,0
JOSÉ ROCHA,0,0,1,0,1
LUCIANO DUCCI,0,0,13,9,22
PAULO GUEDES,0,0,0,0,0
CELSO MALDANER,1,0,0,0,1
NILSON PINTO,0,0,0,1,1
RUBENS BUENO,1,0,11,9,21
DAVID SOARES,0,0,0,0,0
DENIS BEZERRA,0,0,0,0,0
RENATA ABREU,0,0,6,6,12
JOSÉ RICARDO,0,0,0,0,0
MARLON SANTOS,0,0,0,0,0
VALDEVAN NOVENTA,0,0,0,0,0
AFONSO HAMM,0,0,1,2,3
ZECA DIRCEU,0,1,0,0,1
GUSTINHO RIBEIRO,0,0,0,0,0
BENEDITA DA SILVA,0,0,0,0,0
ALICE PORTUGAL,0,0,9,10,19
PAULO PIMENTA,0,0,0,0,0
GIOVANI CHERINI,0,0,3,6,9
ALESSANDRO MOLON,0,0,0,0,0
AROLDO MARTINS,0,0,0,0,0
ALIEL MACHADO,0,0,2,2,4
AFONSO FLORENCE,0,0,1,1,2
ALEXANDRE PADILHA,0,0,0,0,0
DRA. VANDA MILANI,0,0,0,0,0
IDILVAN ALENCAR,0,0,0,0,0
JÚNIOR MANO,0,0,0,0,0
ODAIR CUNHA,0,0,0,0,0
NATÁLIA BONAVIDES,0,0,0,0,0
TITO,0,0,0,0,0
CAPITÃO WAGNER,0,0,0,0,0
ALINE SLEUTJES,0,0,0,0,0
ÁTILA LIRA,0,0,0,0,0
FELIPE FRANCISCHINI,0,0,0,0,0
MARGARIDA SALOMÃO,1,0,0,0,1
DANRLEI DE DEUS HINTERHOLZ,1,0,2,1,4
PAULO AZI,0,0,1,0,1
SEBASTIÃO OLIVEIRA,0,0,0,0,0
ANGELA AMIN,0,0,0,0,0
PROFESSOR JOZIEL,0,0,0,0,0
DR. JAZIEL,0,0,0,0,0
MARINA SANTOS,0,0,0,0,0
JUNINHO DO PNEU,0,0,0,0,0
FLORDELIS,0,0,0,0,0
EDILÁZIO JÚNIOR,0,0,0,0,0
ROBERTO PESSOA,0,0,0,0,0
PROFESSORA DAYANE PIMENTEL,0,0,0,0,0
JOÃO H. CAMPOS,0,0,0,0,0
FÁBIO FARIA,0,0,4,1,5
ADRIANO DO BALDY,0,0,0,0,0
WALDENOR PEREIRA,0,0,0,0,0
